ID,Name,Age,Gender,City,Subject,Score,StudyHours,Absences,Date
1,Tuvshin Bat,16,F,Dubai,Science,97.0,1.0,8,2025-01-19
2,Luna Bayar,14,F,Dubai,Science,82.0,3.2,8,2025-02-23
3,Mei Johnson,15,M,Tokyo,English,50.0,3.9,2,2025-06-14
4,Erdene Kim,15,F,New York,English,56.0,0.9,1,2025-03-28
5,Sophie Ito,16,F,London,History,84.0,1.1,6,2025-01-18
6,Anu Ito,16,F,London,Math,52.0,3.5,4,2025-01-28
7,Saruul Khuu,17,M,Paris,English,60.0,2.2,3,2025-06-09
8,Mina Ito,15,F,Dubai,History,74.0,1.7,10,2025-06-18
9,Saruul Lee,14,F,New York,Math,70.0,2.3,1,2025-02-19
10,Erdene Tsetseg,17,M,London,History,59.0,1.7,3,2025-06-18
11,Mei Kim,18,M,Tokyo,History,73.0,1.5,2,2025-05-16
12,Mina Bayar,14,F,London,Science,100.0,3.6,9,2025-01-13
13,Daniel Ito,17,M,Tokyo,Math,93.0,3.7,10,2025-05-25
14,Javkhlan Lee,14,M,Paris,Science,79.0,0.5,4,2025-05-25
15,Nara Tran,14,M,New York,CS,88.0,1.4,5,2025-02-18
16,Rio Bat,18,M,Paris,Math,57.0,4.7,4,2025-02-02
17,Saruul Khan,14,F,London,History,54.0,4.9,8,2025-02-05
18,Ken Singh,15,M,Tokyo,CS,77.0,4.8,8,2025-06-23
19,Bold Park,17,M,Paris,CS,78.0,1.0,3,2025-01-11
20,Alex Khan,18,F,Tokyo,Science,50.0,0.8,10,2025-01-08
21,Mina Bayar,16,F,Tokyo,Science,67.0,3.5,3,2025-05-05
22,Sara Khan,17,F,New York,History,76.0,1.4,1,2025-06-14
23,Sophie Johnson,17,M,New York,Math,93.0,3.4,10,2025-01-02
24,Daniel Lee,14,F,Dubai,Science,84.0,2.5,6,2025-02-09
25,Hana Bold,14,M,New York,CS,56.0,0.7,8,2025-01-03
26,Saruul Delger,17,M,Paris,Science,75.0,4.6,2,2025-04-01
27,Daniel Kim,17,M,Paris,CS,92.0,3.7,2,2025-02-10
28,Bold Bayar,18,F,London,English,53.0,0.7,7,2025-05-28
29,Rio Delger,14,F,New York,Science,54.0,,10,2025-02-13
30,Tuvshin Khan,15,F,Tokyo,Math,76.0,3.5,9,2025-05-11
31,Javkhlan Tsetseg,16,F,Seoul,History,58.0,3.5,4,2025-04-11
32,Mina Bat,17,F,Zurich,CS,63.0,2.8,2,2025-03-03
33,Saruul Garcia,16,F,Paris,CS,,1.9,10,2025-05-01
34,Mei Park,14,F,Seoul,Math,56.0,3.8,2,2025-03-10
35,Joon Tsetseg,16,F,London,English,82.0,2.7,0,2025-01-21
36,Luna Kim,14,F,Seoul,Science,90.0,4.9,2,2025-06-15
37,Mei Johnson,18,F,Zurich,Math,94.0,4.6,8,2025-01-27
38,Sophie Khan,18,F,Paris,Science,52.0,1.9,0,2025-03-07
39,Saruul Khuu,16,M,Tokyo,Science,65.0,4.4,2,2025-04-01
40,Nara Lee,17,F,Seoul,Science,100.0,3.7,6,2025-01-28
41,Ken Bold,15,M,Seoul,English,100.0,4.4,3,2025-01-22
42,Bold Smith,16,M,New York,Math,99.0,1.8,10,2025-05-13
43,Mei Lee,14,F,Seoul,Science,87.0,4.8,4,2025-01-04
44,Joon Johnson,16,M,Paris,CS,82.0,1.0,9,2025-02-09
45,Sam Johnson,14,F,Seoul,History,54.0,4.8,5,2025-05-11
46,Tuvshin Park,18,M,London,History,70.0,2.3,4,2025-05-05
47,Bold Johnson,17,F,Tokyo,CS,69.0,2.3,0,2025-03-10
48,Bold Johnson,18,M,Paris,History,78.0,3.5,8,2025-04-26
49,Nara Erdene,16,M,Zurich,Science,93.0,1.9,3,2025-02-01
50,Sam Bold,17,F,Paris,History,90.0,3.1,6,2025-04-13
51,Saruul Suren,14,F,New York,History,64.0,1.3,8,2025-04-02
52,Mei Bold,14,M,Dubai,History,92.0,2.9,8,2025-05-11
53,Hana Ito,18,M,New York,CS,78.0,4.5,7,2025-04-09
54,Saruul Kim,18,M,London,Science,67.0,2.5,4,2025-02-09
55,Erdene Lee,18,F,Dubai,Science,64.0,2.2,2,2025-06-07
56,Mina Johnson,17,M,Tokyo,History,76.0,0.8,6,2025-04-25
57,Sara Bat,18,M,Paris,Math,72.0,1.8,6,2025-04-18
58,Mei Ito,15,M,Dubai,English,77.0,,6,2025-03-22
59,Daniel Delger,17,F,Tokyo,CS,51.0,4.6,9,2025-05-22
60,Alex Erdene,17,F,New York,History,61.0,0.7,6,2025-03-07
61,Hana Lee,16,M,Seoul,History,66.0,4.3,7,2025-01-24
62,Mei Bayar,16,F,London,Math,99.0,4.8,0,2025-01-08
63,Bold Bat,18,F,Dubai,Science,80.0,3.5,9,2025-02-15
64,Javkhlan Garcia,15,F,New York,Science,69.0,1.0,0,2025-03-19
65,Daniel Smith,15,F,Tokyo,Science,56.0,3.6,4,2025-06-20
66,Tuvshin Khan,14,M,Tokyo,History,,2.2,8,2025-06-11
67,Alex Johnson,17,F,Paris,English,90.0,4.5,7,2025-06-05
68,Luna Delger,18,M,Tokyo,CS,99.0,2.7,6,2025-06-19
69,Javkhlan Lee,15,F,Seoul,History,65.0,3.9,9,2025-05-22
70,Daniel Lee,14,M,New York,English,61.0,2.7,5,2025-03-11
71,Javkhlan Ito,16,F,Tokyo,Science,55.0,1.6,6,2025-04-18
72,Saruul Chen,17,M,New York,Math,55.0,1.8,6,2025-06-08
73,Anu Khan,16,M,Tokyo,CS,72.0,2.4,8,2025-03-12
74,Hana Kim,16,M,Dubai,Math,96.0,1.4,1,2025-06-18
75,Nara Tsetseg,15,M,Seoul,CS,98.0,2.9,4,2025-01-27
76,Bold Park,15,M,Dubai,English,50.0,3.7,2,2025-03-02
77,Sam Singh,16,F,London,History,56.0,4.4,9,2025-03-16
78,Ken Wang,16,F,Zurich,English,80.0,1.0,1,2025-04-16
79,Mina Khan,14,F,Dubai,CS,69.0,0.9,3,2025-01-18
80,Luna Ito,18,F,New York,CS,74.0,2.5,7,2025-03-28
81,Sara Johnson,16,F,Tokyo,Math,98.0,1.4,3,2025-03-22
82,Mina Delger,15,F,Tokyo,Math,60.0,0.5,7,2025-06-20
83,Ken Park,14,F,Seoul,English,94.0,4.4,1,2025-06-08
84,Javkhlan Khan,15,M,Zurich,CS,64.0,3.4,4,2025-02-03
85,Sam Delger,16,M,Paris,Math,79.0,3.6,6,2025-03-17
86,Mei Chen,17,F,Tokyo,Math,77.0,3.8,9,2025-03-01
87,Mina Bold,18,F,New York,English,86.0,,2,2025-04-17
88,Hana Kim,15,M,London,History,55.0,2.6,6,2025-03-11
89,Tuvshin Delger,16,M,London,History,68.0,3.5,6,2025-05-02
90,Hana Erdene,16,M,Seoul,Math,99.0,2.3,8,2025-01-22
91,Mei Wang,17,F,Dubai,CS,73.0,3.3,7,2025-06-15
92,Sam Tsetseg,16,F,Seoul,History,94.0,2.7,0,2025-06-20
93,Saruul Delger,16,F,Tokyo,History,55.0,1.5,1,2025-04-04
94,Enkh Chen,16,M,Paris,History,80.0,1.6,8,2025-02-13
95,Bold Ito,18,F,New York,Math,67.0,4.0,6,2025-03-26
96,Rio Kim,14,M,London,English,87.0,3.1,10,2025-04-28
97,Enkh Wang,18,M,Seoul,English,85.0,3.9,6,2025-04-11
98,Bold Bold,18,M,Dubai,History,52.0,1.9,7,2025-06-26
99,Daniel Smith,15,M,Zurich,Science,,4.8,5,2025-01-28
100,Hana Khuu,18,M,Zurich,Science,76.0,4.4,2,2025-01-16
